reg_code	name	age	GQ
53005	Benton	0	1
53005	Benton	1	0
53005	Benton	2	0
53005	Benton	3	0
53005	Benton	4	0
53005	Benton	5	0
53005	Benton	6	0
53005	Benton	7	0
53005	Benton	8	0
53005	Benton	9	0
53005	Benton	10	0
53005	Benton	11	0
53005	Benton	12	0
53005	Benton	13	0
53005	Benton	14	0
53005	Benton	15	1
53005	Benton	16	2
53005	Benton	17	0
53005	Benton	18	0
53005	Benton	19	0
53005	Benton	20	0
53005	Benton	21	1
53005	Benton	22	0
53005	Benton	23	0
53005	Benton	24	0
53005	Benton	25	0
53005	Benton	26	0
53005	Benton	27	0
53005	Benton	28	0
53005	Benton	29	1
53005	Benton	30	0
53005	Benton	31	0
53005	Benton	32	0
53005	Benton	33	0
53005	Benton	34	1
53005	Benton	35	0
53005	Benton	36	1
53005	Benton	37	0
53005	Benton	38	0
53005	Benton	39	0
53005	Benton	40	0
53005	Benton	41	0
53005	Benton	42	0
53005	Benton	43	0
53005	Benton	44	0
53005	Benton	45	0
53005	Benton	46	0
53005	Benton	47	0
53005	Benton	48	0
53005	Benton	49	1
53005	Benton	50	0
53005	Benton	51	0
53005	Benton	52	0
53005	Benton	53	0
53005	Benton	54	0
53005	Benton	55	0
53005	Benton	56	0
53005	Benton	57	0
53005	Benton	58	0
53005	Benton	59	0
53005	Benton	60	0
53005	Benton	61	0
53005	Benton	62	0
53005	Benton	63	0
53005	Benton	64	0
53005	Benton	65	0
53005	Benton	66	0
53005	Benton	67	0
53005	Benton	68	0
53005	Benton	69	0
53005	Benton	70	0
53005	Benton	71	0
53005	Benton	72	0
53005	Benton	73	0
53005	Benton	74	0
53005	Benton	75	0
53005	Benton	76	0
53005	Benton	77	0
53005	Benton	78	0
53005	Benton	79	0
53005	Benton	80	0
53005	Benton	81	0
53005	Benton	82	0
53005	Benton	83	0
53005	Benton	84	0
53005	Benton	85	0
53005	Benton	86	0
53005	Benton	87	0
53005	Benton	88	0
53005	Benton	89	0
53005	Benton	90	0
53005	Benton	91	0
53005	Benton	92	0
53005	Benton	93	0
53005	Benton	94	0
53005	Benton	95	0
53005	Benton	96	0
53005	Benton	97	0
53005	Benton	98	0
53005	Benton	99	0
53005	Benton	100	0
53007	Chelan	0	0
53007	Chelan	1	0
53007	Chelan	2	0
53007	Chelan	3	0
53007	Chelan	4	0
53007	Chelan	5	0
53007	Chelan	6	0
53007	Chelan	7	0
53007	Chelan	8	0
53007	Chelan	9	0
53007	Chelan	10	0
53007	Chelan	11	0
53007	Chelan	12	0
53007	Chelan	13	0
53007	Chelan	14	0
53007	Chelan	15	6
53007	Chelan	16	7
53007	Chelan	17	8
53007	Chelan	18	8
53007	Chelan	19	7
53007	Chelan	20	3
53007	Chelan	21	1
53007	Chelan	22	0
53007	Chelan	23	0
53007	Chelan	24	0
53007	Chelan	25	0
53007	Chelan	26	0
53007	Chelan	27	0
53007	Chelan	28	0
53007	Chelan	29	0
53007	Chelan	30	0
53007	Chelan	31	0
53007	Chelan	32	0
53007	Chelan	33	0
53007	Chelan	34	0
53007	Chelan	35	1
53007	Chelan	36	1
53007	Chelan	37	0
53007	Chelan	38	0
53007	Chelan	39	0
53007	Chelan	40	0
53007	Chelan	41	0
53007	Chelan	42	0
53007	Chelan	43	0
53007	Chelan	44	2
53007	Chelan	45	0
53007	Chelan	46	0
53007	Chelan	47	0
53007	Chelan	48	0
53007	Chelan	49	0
53007	Chelan	50	0
53007	Chelan	51	0
53007	Chelan	52	0
53007	Chelan	53	0
53007	Chelan	54	0
53007	Chelan	55	0
53007	Chelan	56	0
53007	Chelan	57	0
53007	Chelan	58	0
53007	Chelan	59	0
53007	Chelan	60	0
53007	Chelan	61	0
53007	Chelan	62	0
53007	Chelan	63	0
53007	Chelan	64	0
53007	Chelan	65	0
53007	Chelan	66	0
53007	Chelan	67	0
53007	Chelan	68	0
53007	Chelan	69	0
53007	Chelan	70	0
53007	Chelan	71	0
53007	Chelan	72	0
53007	Chelan	73	0
53007	Chelan	74	0
53007	Chelan	75	0
53007	Chelan	76	0
53007	Chelan	77	0
53007	Chelan	78	0
53007	Chelan	79	0
53007	Chelan	80	0
53007	Chelan	81	0
53007	Chelan	82	0
53007	Chelan	83	0
53007	Chelan	84	0
53007	Chelan	85	0
53007	Chelan	86	0
53007	Chelan	87	0
53007	Chelan	88	0
53007	Chelan	89	0
53007	Chelan	90	0
53007	Chelan	91	0
53007	Chelan	92	0
53007	Chelan	93	0
53007	Chelan	94	0
53007	Chelan	95	0
53007	Chelan	96	0
53007	Chelan	97	0
53007	Chelan	98	0
53007	Chelan	99	0
53007	Chelan	100	0
53009	Clallam	0	0
53009	Clallam	1	0
53009	Clallam	2	0
53009	Clallam	3	0
53009	Clallam	4	0
53009	Clallam	5	0
53009	Clallam	6	0
53009	Clallam	7	0
53009	Clallam	8	0
53009	Clallam	9	0
53009	Clallam	10	0
53009	Clallam	11	0
53009	Clallam	12	0
53009	Clallam	13	0
53009	Clallam	14	0
53009	Clallam	15	0
53009	Clallam	16	0
53009	Clallam	17	0
53009	Clallam	18	0
53009	Clallam	19	0
53009	Clallam	20	0
53009	Clallam	21	0
53009	Clallam	22	0
53009	Clallam	23	2
53009	Clallam	24	0
53009	Clallam	25	2
53009	Clallam	26	2
53009	Clallam	27	0
53009	Clallam	28	0
53009	Clallam	29	0
53009	Clallam	30	0
53009	Clallam	31	1
53009	Clallam	32	0
53009	Clallam	33	1
53009	Clallam	34	2
53009	Clallam	35	0
53009	Clallam	36	1
53009	Clallam	37	1
53009	Clallam	38	0
53009	Clallam	39	0
53009	Clallam	40	0
53009	Clallam	41	0
53009	Clallam	42	1
53009	Clallam	43	2
53009	Clallam	44	2
53009	Clallam	45	0
53009	Clallam	46	0
53009	Clallam	47	0
53009	Clallam	48	0
53009	Clallam	49	2
53009	Clallam	50	1
53009	Clallam	51	0
53009	Clallam	52	0
53009	Clallam	53	0
53009	Clallam	54	0
53009	Clallam	55	0
53009	Clallam	56	0
53009	Clallam	57	0
53009	Clallam	58	0
53009	Clallam	59	0
53009	Clallam	60	0
53009	Clallam	61	0
53009	Clallam	62	0
53009	Clallam	63	0
53009	Clallam	64	0
53009	Clallam	65	0
53009	Clallam	66	0
53009	Clallam	67	0
53009	Clallam	68	0
53009	Clallam	69	0
53009	Clallam	70	0
53009	Clallam	71	0
53009	Clallam	72	0
53009	Clallam	73	0
53009	Clallam	74	0
53009	Clallam	75	0
53009	Clallam	76	0
53009	Clallam	77	0
53009	Clallam	78	0
53009	Clallam	79	0
53009	Clallam	80	0
53009	Clallam	81	0
53009	Clallam	82	0
53009	Clallam	83	0
53009	Clallam	84	0
53009	Clallam	85	0
53009	Clallam	86	0
53009	Clallam	87	0
53009	Clallam	88	0
53009	Clallam	89	0
53009	Clallam	90	0
53009	Clallam	91	0
53009	Clallam	92	0
53009	Clallam	93	0
53009	Clallam	94	0
53009	Clallam	95	0
53009	Clallam	96	0
53009	Clallam	97	0
53009	Clallam	98	0
53009	Clallam	99	0
53009	Clallam	100	0
53011	Clark	0	0
53011	Clark	1	0
53011	Clark	2	0
53011	Clark	3	0
53011	Clark	4	0
53011	Clark	5	0
53011	Clark	6	0
53011	Clark	7	0
53011	Clark	8	0
53011	Clark	9	0
53011	Clark	10	0
53011	Clark	11	0
53011	Clark	12	0
53011	Clark	13	0
53011	Clark	14	0
53011	Clark	15	1
53011	Clark	16	1
53011	Clark	17	1
53011	Clark	18	0
53011	Clark	19	0
53011	Clark	20	0
53011	Clark	21	1
53011	Clark	22	5
53011	Clark	23	5
53011	Clark	24	1
53011	Clark	25	3
53011	Clark	26	0
53011	Clark	27	0
53011	Clark	28	2
53011	Clark	29	3
53011	Clark	30	3
53011	Clark	31	3
53011	Clark	32	2
53011	Clark	33	0
53011	Clark	34	1
53011	Clark	35	3
53011	Clark	36	1
53011	Clark	37	3
53011	Clark	38	0
53011	Clark	39	0
53011	Clark	40	0
53011	Clark	41	0
53011	Clark	42	0
53011	Clark	43	2
53011	Clark	44	4
53011	Clark	45	0
53011	Clark	46	0
53011	Clark	47	0
53011	Clark	48	0
53011	Clark	49	5
53011	Clark	50	2
53011	Clark	51	1
53011	Clark	52	0
53011	Clark	53	0
53011	Clark	54	0
53011	Clark	55	1
53011	Clark	56	0
53011	Clark	57	0
53011	Clark	58	0
53011	Clark	59	0
53011	Clark	60	0
53011	Clark	61	0
53011	Clark	62	0
53011	Clark	63	0
53011	Clark	64	0
53011	Clark	65	0
53011	Clark	66	0
53011	Clark	67	0
53011	Clark	68	0
53011	Clark	69	0
53011	Clark	70	0
53011	Clark	71	0
53011	Clark	72	0
53011	Clark	73	0
53011	Clark	74	0
53011	Clark	75	0
53011	Clark	76	0
53011	Clark	77	0
53011	Clark	78	0
53011	Clark	79	0
53011	Clark	80	0
53011	Clark	81	0
53011	Clark	82	0
53011	Clark	83	0
53011	Clark	84	0
53011	Clark	85	0
53011	Clark	86	0
53011	Clark	87	0
53011	Clark	88	0
53011	Clark	89	0
53011	Clark	90	0
53011	Clark	91	0
53011	Clark	92	0
53011	Clark	93	0
53011	Clark	94	0
53011	Clark	95	0
53011	Clark	96	0
53011	Clark	97	0
53011	Clark	98	0
53011	Clark	99	0
53011	Clark	100	0
53015	Cowlitz	0	0
53015	Cowlitz	1	0
53015	Cowlitz	2	0
53015	Cowlitz	3	0
53015	Cowlitz	4	0
53015	Cowlitz	5	0
53015	Cowlitz	6	0
53015	Cowlitz	7	0
53015	Cowlitz	8	0
53015	Cowlitz	9	0
53015	Cowlitz	10	0
53015	Cowlitz	11	0
53015	Cowlitz	12	0
53015	Cowlitz	13	0
53015	Cowlitz	14	0
53015	Cowlitz	15	0
53015	Cowlitz	16	0
53015	Cowlitz	17	0
53015	Cowlitz	18	0
53015	Cowlitz	19	0
53015	Cowlitz	20	0
53015	Cowlitz	21	0
53015	Cowlitz	22	1
53015	Cowlitz	23	0
53015	Cowlitz	24	0
53015	Cowlitz	25	0
53015	Cowlitz	26	0
53015	Cowlitz	27	0
53015	Cowlitz	28	1
53015	Cowlitz	29	1
53015	Cowlitz	30	1
53015	Cowlitz	31	1
53015	Cowlitz	32	1
53015	Cowlitz	33	0
53015	Cowlitz	34	0
53015	Cowlitz	35	0
53015	Cowlitz	36	0
53015	Cowlitz	37	0
53015	Cowlitz	38	1
53015	Cowlitz	39	0
53015	Cowlitz	40	0
53015	Cowlitz	41	0
53015	Cowlitz	42	1
53015	Cowlitz	43	0
53015	Cowlitz	44	0
53015	Cowlitz	45	0
53015	Cowlitz	46	0
53015	Cowlitz	47	0
53015	Cowlitz	48	0
53015	Cowlitz	49	0
53015	Cowlitz	50	0
53015	Cowlitz	51	0
53015	Cowlitz	52	0
53015	Cowlitz	53	0
53015	Cowlitz	54	0
53015	Cowlitz	55	0
53015	Cowlitz	56	0
53015	Cowlitz	57	0
53015	Cowlitz	58	0
53015	Cowlitz	59	0
53015	Cowlitz	60	0
53015	Cowlitz	61	0
53015	Cowlitz	62	0
53015	Cowlitz	63	0
53015	Cowlitz	64	0
53015	Cowlitz	65	0
53015	Cowlitz	66	0
53015	Cowlitz	67	0
53015	Cowlitz	68	0
53015	Cowlitz	69	0
53015	Cowlitz	70	0
53015	Cowlitz	71	0
53015	Cowlitz	72	0
53015	Cowlitz	73	0
53015	Cowlitz	74	0
53015	Cowlitz	75	0
53015	Cowlitz	76	0
53015	Cowlitz	77	0
53015	Cowlitz	78	0
53015	Cowlitz	79	0
53015	Cowlitz	80	0
53015	Cowlitz	81	0
53015	Cowlitz	82	0
53015	Cowlitz	83	0
53015	Cowlitz	84	0
53015	Cowlitz	85	0
53015	Cowlitz	86	0
53015	Cowlitz	87	0
53015	Cowlitz	88	0
53015	Cowlitz	89	0
53015	Cowlitz	90	0
53015	Cowlitz	91	0
53015	Cowlitz	92	0
53015	Cowlitz	93	0
53015	Cowlitz	94	0
53015	Cowlitz	95	0
53015	Cowlitz	96	0
53015	Cowlitz	97	0
53015	Cowlitz	98	0
53015	Cowlitz	99	0
53015	Cowlitz	100	0
53019	Ferry	0	0
53019	Ferry	1	0
53019	Ferry	2	0
53019	Ferry	3	0
53019	Ferry	4	0
53019	Ferry	5	0
53019	Ferry	6	0
53019	Ferry	7	0
53019	Ferry	8	0
53019	Ferry	9	0
53019	Ferry	10	0
53019	Ferry	11	0
53019	Ferry	12	0
53019	Ferry	13	0
53019	Ferry	14	0
53019	Ferry	15	3
53019	Ferry	16	4
53019	Ferry	17	4
53019	Ferry	18	4
53019	Ferry	19	4
53019	Ferry	20	4
53019	Ferry	21	3
53019	Ferry	22	3
53019	Ferry	23	3
53019	Ferry	24	2
53019	Ferry	25	0
53019	Ferry	26	0
53019	Ferry	27	0
53019	Ferry	28	0
53019	Ferry	29	0
53019	Ferry	30	0
53019	Ferry	31	0
53019	Ferry	32	0
53019	Ferry	33	0
53019	Ferry	34	0
53019	Ferry	35	0
53019	Ferry	36	0
53019	Ferry	37	0
53019	Ferry	38	0
53019	Ferry	39	0
53019	Ferry	40	0
53019	Ferry	41	0
53019	Ferry	42	0
53019	Ferry	43	0
53019	Ferry	44	0
53019	Ferry	45	0
53019	Ferry	46	0
53019	Ferry	47	0
53019	Ferry	48	0
53019	Ferry	49	0
53019	Ferry	50	0
53019	Ferry	51	0
53019	Ferry	52	0
53019	Ferry	53	0
53019	Ferry	54	0
53019	Ferry	55	0
53019	Ferry	56	0
53019	Ferry	57	0
53019	Ferry	58	0
53019	Ferry	59	0
53019	Ferry	60	0
53019	Ferry	61	0
53019	Ferry	62	0
53019	Ferry	63	0
53019	Ferry	64	0
53019	Ferry	65	0
53019	Ferry	66	0
53019	Ferry	67	0
53019	Ferry	68	0
53019	Ferry	69	0
53019	Ferry	70	0
53019	Ferry	71	0
53019	Ferry	72	0
53019	Ferry	73	0
53019	Ferry	74	0
53019	Ferry	75	0
53019	Ferry	76	0
53019	Ferry	77	0
53019	Ferry	78	0
53019	Ferry	79	0
53019	Ferry	80	0
53019	Ferry	81	0
53019	Ferry	82	0
53019	Ferry	83	0
53019	Ferry	84	0
53019	Ferry	85	0
53019	Ferry	86	0
53019	Ferry	87	0
53019	Ferry	88	0
53019	Ferry	89	0
53019	Ferry	90	0
53019	Ferry	91	0
53019	Ferry	92	0
53019	Ferry	93	0
53019	Ferry	94	0
53019	Ferry	95	0
53019	Ferry	96	0
53019	Ferry	97	0
53019	Ferry	98	0
53019	Ferry	99	0
53019	Ferry	100	0
53021	Franklin	0	0
53021	Franklin	1	0
53021	Franklin	2	0
53021	Franklin	3	0
53021	Franklin	4	0
53021	Franklin	5	0
53021	Franklin	6	0
53021	Franklin	7	0
53021	Franklin	8	0
53021	Franklin	9	0
53021	Franklin	10	0
53021	Franklin	11	0
53021	Franklin	12	0
53021	Franklin	13	0
53021	Franklin	14	0
53021	Franklin	15	1
53021	Franklin	16	0
53021	Franklin	17	1
53021	Franklin	18	0
53021	Franklin	19	0
53021	Franklin	20	0
53021	Franklin	21	0
53021	Franklin	22	1
53021	Franklin	23	3
53021	Franklin	24	1
53021	Franklin	25	2
53021	Franklin	26	1
53021	Franklin	27	0
53021	Franklin	28	0
53021	Franklin	29	0
53021	Franklin	30	0
53021	Franklin	31	0
53021	Franklin	32	1
53021	Franklin	33	2
53021	Franklin	34	3
53021	Franklin	35	2
53021	Franklin	36	1
53021	Franklin	37	0
53021	Franklin	38	0
53021	Franklin	39	0
53021	Franklin	40	0
53021	Franklin	41	0
53021	Franklin	42	0
53021	Franklin	43	2
53021	Franklin	44	3
53021	Franklin	45	0
53021	Franklin	46	0
53021	Franklin	47	1
53021	Franklin	48	1
53021	Franklin	49	0
53021	Franklin	50	0
53021	Franklin	51	0
53021	Franklin	52	0
53021	Franklin	53	0
53021	Franklin	54	0
53021	Franklin	55	0
53021	Franklin	56	0
53021	Franklin	57	0
53021	Franklin	58	0
53021	Franklin	59	0
53021	Franklin	60	0
53021	Franklin	61	1
53021	Franklin	62	0
53021	Franklin	63	0
53021	Franklin	64	1
53021	Franklin	65	0
53021	Franklin	66	0
53021	Franklin	67	0
53021	Franklin	68	0
53021	Franklin	69	0
53021	Franklin	70	0
53021	Franklin	71	0
53021	Franklin	72	0
53021	Franklin	73	0
53021	Franklin	74	0
53021	Franklin	75	0
53021	Franklin	76	0
53021	Franklin	77	0
53021	Franklin	78	0
53021	Franklin	79	0
53021	Franklin	80	0
53021	Franklin	81	0
53021	Franklin	82	0
53021	Franklin	83	0
53021	Franklin	84	0
53021	Franklin	85	0
53021	Franklin	86	0
53021	Franklin	87	0
53021	Franklin	88	0
53021	Franklin	89	0
53021	Franklin	90	0
53021	Franklin	91	0
53021	Franklin	92	0
53021	Franklin	93	0
53021	Franklin	94	0
53021	Franklin	95	0
53021	Franklin	96	0
53021	Franklin	97	0
53021	Franklin	98	0
53021	Franklin	99	0
53021	Franklin	100	0
53025	Grant	0	0
53025	Grant	1	0
53025	Grant	2	0
53025	Grant	3	0
53025	Grant	4	0
53025	Grant	5	0
53025	Grant	6	0
53025	Grant	7	0
53025	Grant	8	0
53025	Grant	9	0
53025	Grant	10	0
53025	Grant	11	0
53025	Grant	12	0
53025	Grant	13	0
53025	Grant	14	0
53025	Grant	15	8
53025	Grant	16	11
53025	Grant	17	9
53025	Grant	18	7
53025	Grant	19	5
53025	Grant	20	3
53025	Grant	21	7
53025	Grant	22	11
53025	Grant	23	11
53025	Grant	24	8
53025	Grant	25	4
53025	Grant	26	2
53025	Grant	27	0
53025	Grant	28	0
53025	Grant	29	0
53025	Grant	30	0
53025	Grant	31	1
53025	Grant	32	1
53025	Grant	33	2
53025	Grant	34	3
53025	Grant	35	2
53025	Grant	36	1
53025	Grant	37	0
53025	Grant	38	0
53025	Grant	39	0
53025	Grant	40	0
53025	Grant	41	0
