reg_code	name	age	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
53	Washington	0	38554.8779	38684.7041	38968.2233	39249.0411	39311.826	39413.2185	39445.2981	39462.3002	39399.425	39296.3198	39939.3431	40250.8754	40609.3194	40641.6764	40891.8469	41326.6495	41882.2123	42798.7909	43666.8014	44231.77	44492.6819	44157.7185	43800.708	43585.8824	43535.972	43546.9831	43608.1281	43625.1341	43641.1343	43721.1729	43819.7851	43328.3969	43435.5222	43304.0193
53	Washington	1	37088.8071	37415.5578	37880.5307	38354.4767	38619.6835	38924.0156	39161.7033	39383.6751	39522.5865	39620.534	40449.4694	40706.4183	41003.036	40988.8233	41185.3126	41556.6021	42061.6133	42940.9439	43790.6235	44336.3904	44548.6334	44214.7188	43880.6992	43690.8817	43653.9691	43629.979	43772.1365	43782.1418	43862.1509	43928.1775	44028.7981	43636.9358	43724.8486	43574.7337
53	Washington	2	36688.3609	37056.4182	37559.1168	38071.6667	38377.8275	38722.88	39000.9147	39263.347	39444.74	39581.9877	40445.1064	40827.1193	41276.3063	41363.2124	41686.0549	42222.1458	42863.601	43881.9758	44884.2999	45572.873	45893.2878	45458.6839	45033.6632	44747.863	44619.9647	44502.9792	44561.1384	44479.1377	44471.1425	44449.1719	44459.7924	43958.5466	44061.3117	43929.8062
53	Washington	3	36492.9646	36875.8443	37393.7556	37920.3557	38241.2143	38602.715	38895.095	39168.1289	39359.291	39505.8596	40378.5087	40747.7123	41181.8961	41289.3508	41614.8711	42130.6167	42755.4924	43778.0911	44755.772	45438.3249	45751.4919	45397.7237	45045.7007	44836.8809	44787.9702	44739.9761	44880.141	44872.1448	44947.148	45001.1802	45090.7832	44517.3527	44605.5337	44434.5265
53	Washington	4	37337.5699	37696.8513	38201.5095	38712.8542	39015.5385	39360.0366	39634.6573	39887.9407	40058.1132	40182.1959	41027.8862	41222.0096	41464.4955	41354.3192	41480.6615	41798.073	42231.3649	43037.6894	43813.4498	44279.7834	44401.8622	44271.7158	44146.6917	44155.8812	44317.9763	44488.9952	44840.1617	45048.1577	45335.1555	45606.1887	45918.7879	45261.2024	45339.9792	45148.806
53	Washington	5	37265.0786	37687.6059	38244.5959	38811.9599	39175.9326	39584.3896	39922.5858	40240.7277	40467.1923	40638.806	41531.7979	41255.9804	41147.935	41013.8914	41392.9606	41865.8461	42857.8175	43557.556	43933.925	44243.2826	44394.3152	44362.6965	44338.6749	44450.8636	44719.9608	44988.9833	45447.1692	45765.1739	46157.1765	46537.2123	46953.784	46621.1528	46523.5862	46362.4009
53	Washington	6	36929.9378	37443.3748	38109.2337	38789.079	39266.6142	39790.2901	40241.2758	40669.6511	41004.1958	41283.5705	42276.1064	41889.3849	41662.3988	41380.2633	41615.8792	41931.9246	42819.4372	43394.2345	43652.4746	43830.6819	43889.4493	44002.6585	44116.6375	44366.8415	44771.9477	45182.9705	45784.1634	46237.1658	46771.1659	47292.2103	47851.7939	47551.9261	47459.7692	47277.6798
53	Washington	7	37381.2644	38100.4017	38903.996	39731.3584	40355.982	41029.8694	41629.6738	42207.7159	42688.1427	43110.6278	44260.1219	43590.7078	43071.9978	42520.4316	42470.9917	42534.3942	43128.245	43428.153	43410.9073	43303.2134	43067.3526	43343.671	43620.6434	44024.8433	44586.9475	45155.9663	45909.1644	46523.1676	47216.1743	47895.2236	48618.8012	48204.4713	48086.716	47895.7528
53	Washington	8	35494.3059	36448.8871	37502.0715	38586.6743	39477.3135	40416.8131	41285.9523	42127.0429	42868.845	43550.2531	44980.6358	44281.4675	43684.2936	43057.8702	43002.4002	43044.2621	43612.9925	43882.5353	43840.8564	43696.7844	43465.4943	43764.7057	44061.6783	44491.8561	45074.9484	45663.9662	46439.1624	47071.1736	47788.1849	48496.2279	49242.7842	48783.1847	48675.1786	48486.3807
53	Washington	9	37743.3201	38557.9515	39464.0644	40397.5772	41125.558	41904.7621	42608.5017	43282.9783	43857.0484	44371.38	45624.7796	44949.2371	44469.0901	43940.4145	43980.6083	44115.6763	44775.2782	45135.3943	45166.7286	45107.159	44885.3634	45079.67	45280.6527	45614.8495	46110.9527	46606.968	47293.1648	47841.171	48468.1725	49084.2166	49740.7784	49230.7294	49103.2629	48894.1726
53	Washington	10	36919.5364	37857.1387	38895.6301	39969.2259	40830.6197	41734.0944	42565.1092	43362.9988	44062.0002	44707.1591	46078.2231	46473.2337	47059.2918	47233.7795	47078.3773	46528.9147	46170.1878	45711.1342	45247.6676	45061.4516	45223.7495	45421.6205	45624.5932	45960.8215	46462.94	46964.9678	47655.1751	48207.1817	48843.1846	49464.2286	50126.7756	50535.0037	50987.1974	51229.1341
53	Washington	11	34191.8265	35243.802	36380.5513	37555.1373	38532.5608	39550.459	40500.3985	41419.4292	42243.0802	43016.6199	44482.1972	45007.4742	45735.3795	46039.6727	46027.9091	45626.7858	45399.5122	45040.919	44723.422	44717.9775	45073.4861	45309.6378	45539.6157	45908.833	46442.9453	46968.9756	47690.1755	48277.1808	48943.1831	49597.2236	50290.7699	50684.1777	51162.6231	51400.8039
53	Washington	12	33250.0765	34366.437	35579.06	36829.3704	37886.0497	38987.0618	40018.8018	41020.553	41925.6315	42776.8254	44294.5214	44805.1073	45513.0811	45845.5255	45838.5052	45425.1464	45185.3803	44821.4532	44490.1514	44473.5598	44810.033	45061.6376	45321.6092	45711.8291	46258.9413	46818.9734	47562.1763	48166.1737	48851.1728	49526.2197	50242.764	50562.1203	51025.4948	51250.4031
53	Washington	13	32576.7626	33712.0063	34922.4534	36173.0982	37236.1233	38340.6266	39377.4822	40382.0188	41290.3197	42146.3732	43676.0736	44221.242	45008.506	45373.6659	45430.909	45072.805	44907.7597	44617.234	44353.8042	44377.1352	44727.5549	44961.6237	45197.5981	45566.8354	46098.9543	46633.9849	47354.1931	47942.1879	48602.1842	49257.2293	49950.7686	50309.1514	50765.2701	50974.3529
53	Washington	14	31732.2218	33001.7739	34397.9992	35837.1904	37092.4475	38388.4286	39619.7612	40812.1321	41907.9758	42946.6695	44637.2983	45118.9615	45821.8712	46112.269	46066.723	45622.9697	45380.9984	45003.9665	44642.8243	44598.2696	44882.1923	45048.6305	45219.6109	45525.8413	45985.9533	46459.985	47112.1838	47631.1898	48225.195	48811.2312	49440.7835	49705.8614	50110.5418	50319.2565
53	Washington	15	31343.1097	32969.7234	34358.4582	35781.6139	37028.2264	38331.1732	39557.4479	40735.7163	41829.5845	42857.296	44522.7714	44882.0186	44268.7357	45106.4256	45641.133	47684.6692	47894.6631	47778.3095	47427.5448	45618.0649	45594.2418	45614.6671	45645.6036	45806.8309	46136.9415	46464.9695	46981.1867	47364.1876	47816.185	48259.2372	48745.7976	49632.9818	49965.6596	51045.8047
53	Washington	16	30865.5092	32076.4684	33539.2218	35054.4258	36391.2816	37783.6059	39115.5884	40393.5197	41570.8479	42694.7086	44442.8496	44755.7761	45262.8523	44472.9816	45405.1618	46005.1685	48284.7357	48326.6073	48053.7548	47554.5546	46512.1386	46378.6167	46249.5979	46266.8008	46440.9253	46619.961	46980.1915	47212.1906	47512.1891	47809.2441	48134.7809	48818.3609	49150.4151	50191.1029
53	Washington	17	31162.705	32842.0949	34265.9268	35733.2261	37027.1619	38366.7354	39642.5099	40877.5708	42009.8541	43077.3299	44810.4078	44689.7331	45135.2141	45476.45	44780.4399	45778.7161	46579.9609	48706.476	48595.5563	48176.5509	48569.3416	48165.6029	47774.5624	47530.7959	47451.918	47377.9439	47492.1791	47461.1811	47511.1849	47546.233	47613.7633	48297.2336	48586.0725	49613.5531
53	Washington	18	31446.3864	32782.5188	34013.9546	35312.7637	36439.0632	37608.2724	38724.8735	39833.213	40901.4571	41954.4183	43626.2896	44839.072	44906.9889	45179.2834	45669.5975	45060.0916	46345.0177	46994.651	48981.7261	48720.9165	48782.3651	48438.8441	48119.0821	47936.0735	47920.546	47913.447	48091.1312	48128.1564	48242.2154	48346.079	48480.5652	48603.7276	49786.5488	50725.4302
53	Washington	19	35681.2991	36569.697	37192.2146	37868.8383	38360.4837	38880.7356	39376.334	39896.7251	40411.9822	40980.0097	42287.5575	43705.1031	45167.7374	44977.3329	45482.2832	46090.6116	45910.3756	46996.3012	47411.954	49207.1102	48118.5777	48029.3685	47987.7325	48051.0399	48288.5337	48545.1257	48977.8778	49278.9533	49649.195	50020.7277	50418.3578	48550.8814	50752.1251	51532.5352
53	Washington	20	35748.1348	36679.1	37303.3321	37957.0139	38404.4607	38884.3148	39329.6965	39835.9085	40319.2193	40846.7744	42265.6127	43536.3187	45110.8646	46406.8913	47648.5603	48503.953	49840.3299	50331.5458	50380.1388	50008.8687	49004.6715	48889.586	48824.1131	48859.7213	49081.3471	49318.0025	49739.8161	50014.8809	50375.1458	50733.7087	51113.2892	49858.5889	50980.9735	50948.1678
53	Washington	21	34733.2513	35521.8211	36049.9832	36590.3848	36921.408	37280.4712	37603.5302	37989.4668	38343.0785	38734.9434	40086.6007	41436.4235	43093.6514	44462.2221	45797.5327	46685.6079	47987.2997	48463.5535	48577.1988	48409.5717	47534.8099	47591.9154	47696.4558	47905.4521	48294.2548	48701.9296	49293.8115	49733.8753	50260.1423	50786.7143	51335.2878	51245.7502	51978.4486	52037.3669
53	Washington	22	33456.9695	34292.1812	34847.2214	35411.4204	35773.1749	36166.2057	36519.2787	36923.8483	37284.7352	37672.4133	38975.0947	40302.6675	41908.8542	43401.2919	44677.0757	45502.9845	46725.2026	47255.3321	47353.006	47351.9912	46686.5266	46834.9839	47025.378	47324.8765	47804.9734	48295.7184	48983.8952	49515.9394	50128.1312	50739.8286	51380.3361	51833.6813	52200.9105	52269.4051
53	Washington	23	33533.692	34352.0128	34915.2411	35486.1144	35857.2135	36263.8887	36627.8359	37030.5281	37387.4702	37745.1834	38982.2111	40331.9179	41983.63	43501.4827	44783.3298	45666.856	46937.201	47457.0668	47504.826	47503.5963	46803.9577	46963.451	47137.6409	47448.9338	47934.5101	48435.3872	49137.993	49671.0203	50294.1367	50902.9659	51552.4225	52316.1858	52324.7486	52428.246
53	Washington	24	35524.3289	36136.5956	36461.2927	36792.1401	36916.8347	37079.1943	37196.7702	37344.8725	37446.0768	37539.7391	38489.6912	40017.4255	41847.5011	43576.0455	45052.0928	46115.7809	47586.0248	48334.7543	48539.3806	48688.4796	48100.4569	48183.663	48278.7479	48526.4367	48952.2503	49393.1913	50051.0373	50517.0522	51081.1208	51627.0371	52217.5131	53127.1949	53070.635	53228.8859
53	Washington	25	37825.3412	37985.8464	38300.2082	38606.2119	38713.1488	38868.3087	38968.8947	39075.7381	39107.986	39101.7691	39935.7729	39113.2043	39202.0698	39726.0414	40880.1827	42225.2496	44349.4622	46288.6749	48092.2104	49193.0275	48894.8631	49111.3343	49335.3971	49720.2602	50285.158	50878.123	51691.0498	52299.0649	53003.1194	53706.0711	54442.5256	53573.509	53308.9756	53022.6156
53	Washington	26	39438.1311	39252.9331	39245.6812	39223.295	38993.6641	38813.2101	38578.7624	38347.8364	38045.8662	37699.802	38151.9086	37518.6858	37783.0907	38440.6762	39704.5888	41168.962	43384.9253	45478.7054	47399.112	48639.0145	48405.6427	48858.1798	49307.2206	49924.1594	50722.1047	51541.089	52590.078	53432.0802	54372.1168	55307.1008	56282.5356	55323.5878	55030.3954	54714.6156
53	Washington	27	40962.7722	40714.2825	40664.3583	40598.9015	40319.0194	40090.0011	39801.229	39513.9378	39151.9912	38743.5251	39152.2012	38446.3698	38720.0751	39381.7311	40677.659	42167.2379	44414.9273	46519.0764	48478.9197	49710.0193	49383.0178	49878.0859	50371.116	51034.0898	51890.0638	52766.0498	53876.0678	54770.0773	55765.1156	56759.1158	57791.5434	56849.3968	56527.815	56223.0193
53	Washington	28	39994.1016	40132.4773	40521.6805	40909.3629	41083.4596	41310.6738	41477.0946	41642.0502	41726.5127	41756.5106	42634.2825	41502.8545	41354.6598	41663.0064	42644.273	43827.9843	45780.5923	47549.5002	49175.2319	50088.7854	49502.0089	50093.0452	50676.0566	51435.0576	52383.0454	53349.0393	54562.0761	55553.0894	56649.1245	57736.1235	58870.5394	58004.6293	57648.8661	57316.3803
53	Washington	29	43830.5894	43932.1774	44296.729	44657.6351	44781.3969	44962.6969	45079.7644	45192.549	45221.4725	45184.4942	46047.8062	44422.5443	43799.0518	43686.649	44303.7633	45120.5282	46715.7006	48097.4948	49318.3707	49800.1641	48828.3489	49546.9843	50258.9966	51139.0316	52210.0383	53303.0298	54637.0832	55749.0819	56971.112	58182.12	59443.5464	58592.4065	58190.0922	57821.2445
53	Washington	30	42943.2875	43474.7684	44130.2177	44793.6443	45213.1871	45684.9161	46075.0341	46470.8193	46768.4033	47009.3745	48144.0176	49046.3891	49773.2206	49285.7542	48411.3933	47335.3286	46720.457	46759.6062	47418.1491	48399.9139	49931.3638	50538.8265	51135.8232	51904.9441	52872.9957	53864.9878	55097.0935	56104.0935	57213.113	58327.1341	59480.5621	59995.4872	60952.4592	61624.005
53	Washington	31	42485.4835	42754.6242	43126.8749	43502.585	43641.9671	43831.0344	43942.6766	44057.5698	44078.8757	44046.622	44821.6402	45609.4911	46200.1197	45704.8287	44866.6881	43800.7062	43152.0267	43148.8478	43692.5836	44568.0404	45967.544	46966.8794	47961.8745	49106.9654	50436.0054	51786.0059	53377.111	54749.1122	56223.1298	57700.1483	59224.5693	59803.115	60749.4282	61389.812
53	Washington	32	43444.5551	43493.8503	43636.7629	43779.741	43680.903	43631.7161	43503.8	43377.671	43162.5806	42896.185	43455.6931	44308.2104	44981.0337	44566.6043	43823.7328	42830.2209	42269.9013	42356.0959	42965.2998	43919.7343	45388.3065	46436.8642	47465.8656	48656.9595	50026.996	51416.9943	53044.1067	54458.1163	55975.1445	57489.1702	59055.5677	59622.3035	60549.6531	61169.0288
53	Washington	33	42672.3684	42717.9318	42844.3782	42972.9387	42865.1433	42809.1818	42676.1618	42541.3917	42317.7348	42045.334	42540.9125	43398.8835	44081.4651	43702.5002	42991.0989	42064.8678	41540.5056	41672.4122	42303.4716	43243.9943	44656.9197	45768.8234	46861.8311	48114.952	49545.002	50996.0135	52679.1233	54151.1237	55729.1417	57304.1665	58927.5806	59449.1175	60359.5693	60937.3848
53	Washington	34	44160.441	44196.8973	44329.7328	44465.6609	44356.991	44300.0666	44159.4413	44017.8597	43782.1701	43496.0326	44015.4906	44681.2461	45134.6652	44533.6558	43586.4319	42427.6357	41694.1356	41569.5045	41996.0858	42726.6557	43918.8379	45104.8293	46273.833	47597.9433	49097.9922	50619.9972	52365.1096	53909.1172	55555.1401	57200.1604	58895.5919	59327.6229	60209.3784	60791.0119
53	Washington	35	43691.4424	43966.9343	44566.1978	45169.4426	45532.2143	45948.7163	46293.438	46623.3983	46865.8908	47038.6187	48016.3327	47172.1311	46207.6284	45416.9242	45176.0242	45713.665	46883.9176	47580.6138	47254.7848	46310.7595	45086.1098	46150.7486	47199.7405	48411.8991	49797.9706	51208.9814	52850.13	54281.1333	55816.1502	57348.1883	58930.6021	59940.9061	61112.4484	62020.4223
