country_code	reg_code	name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
840	53	Washington	2.0501	2.0723	2.0844	2.0375	1.996	1.9589	1.9379	1.9558	1.9692	1.9862	1.9477	1.9573	1.9014	1.8838	1.9106	1.9117	1.9038	1.9726	1.9868	1.9766	1.945	1.8821	1.8813	1.8593	1.8245	1.8227	1.8102	1.7745	1.6959	1.6332	1.5867	1.5291	1.5557	1.5139
840	53001	Adams	3.2417	3.3024	3.5499	3.5965	3.5304	3.3728	3.0061	3.0565	2.9018	3.3087	3.2596	2.9478	2.9761	3.2383	2.8987	3.5529	3.4948	3.291	3.4899	3.5542	3.3123	3.8439	3.1373	3.0081	3.2635	2.9099	2.8205	2.8061	3.0411	2.9131	2.8272	2.502	2.507	2.5669
840	53003	Asotin	2.4939	2.2672	2.3234	2.4007	2.0035	2.1271	1.949	2.0531	2.18	2.33	2.1242	1.9667	1.8083	1.9495	2.3483	2.0098	1.891	1.8998	1.893	1.9425	1.7528	1.9806	1.9104	2.0396	1.9893	2.1082	1.8219	1.7907	1.7317	1.989	1.878	1.7318	1.8781	1.7203
840	53005	Benton	2.2595	2.27	2.3298	2.3209	2.2865	2.1951	2.2845	2.2542	2.2411	2.3515	2.3721	2.2839	2.3558	2.2378	2.2148	2.1089	2.1179	2.2816	2.2278	2.2376	2.2009	2.2607	2.2197	2.1635	2.1306	2.1966	2.194	2.1708	1.993	1.9727	1.9012	1.8271	1.8903	1.766
840	53007	Chelan	2.7693	2.8875	2.6875	2.7144	2.7118	2.519	2.4215	2.5382	2.4779	2.6661	2.502	2.4216	2.4165	2.2206	2.2644	2.2636	2.3092	2.335	2.4987	2.524	2.4735	2.3386	2.2254	2.1602	2.1198	2.2341	2.1843	2.1045	1.9415	1.8835	1.9274	1.7306	1.7403	1.7084
840	53009	Clallam	2.4027	2.5643	2.3741	2.1234	2.3421	2.0497	2.1978	2.231	2.288	2.391	2.1894	2.157	2.0889	1.9705	2.0664	1.8903	1.9801	2.0835	1.9729	1.9021	1.9984	2.0547	2.0463	1.9624	2.11	2.0196	2.0711	1.9553	1.915	1.7969	1.6616	1.8249	1.6994	1.4716
840	53011	Clark	2.192	2.2734	2.2179	2.1232	2.1466	2.1791	2.1471	2.2426	2.2599	2.2599	2.228	2.3141	2.1721	2.1462	2.1603	2.1617	2.177	2.1751	2.1793	2.0936	2.063	1.9689	1.9606	1.9486	1.8781	1.9248	1.9019	1.8641	1.7859	1.7475	1.7414	1.6126	1.7215	1.6105
840	53013	Columbia	2.6258	3.1099	1.8553	2.9455	1.7758	2.2866	2.1656	2.3117	1.8261	2.7444	1.2094	2.1568	1.8533	2.2395	2.0306	2.025	1.4967	2.6903	1.8733	2.3489	2.2004	2.2402	1.8306	2.0474	2.2272	2.5165	1.8874	2.2172	2.081	1.7828	2.2148	1.9962	1.6434	2.0809
840	53015	Cowlitz	2.4461	2.4923	2.4134	2.218	2.2589	2.1812	2.2469	2.2167	2.0977	2.2705	2.2621	2.2501	2.2117	2.0806	1.9809	2.1985	2.1592	2.2546	2.2782	2.2201	2.107	2.0711	2.0547	1.928	1.9337	1.9625	2.0731	2.1065	2.0273	1.9631	1.9601	1.8645	1.8754	1.914
840	53017	Douglas	2.4363	2.7115	2.2867	2.3432	2.5182	2.521	2.3611	2.4541	2.3984	2.2852	2.4297	2.2737	2.272	2.227	2.2072	2.2393	2.4741	2.4211	2.5953	2.5894	2.2576	2.3246	2.326	2.2043	2.2034	2.2606	2.2667	2.1218	2.2685	1.9691	2.022	1.9056	2.0588	1.9709
